id,family,name,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback_mo,final_prof,final_trust,final_ready,avg_damp,prod_valley,final_eff_adopt,final_raw_adopt,final_hmult,final_fatigue,total_risks,direction,scope,hc_policy,objective
SC-1.1,technology_injection,Copilot → Claims Processing,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-1.2,technology_injection,Copilot → All Functions,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-1.5,technology_injection,Adoption Gap Only (Free Money),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-5.2,output_target,"Maintain Output, -20% Claims HC","ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-7.1,function_transformation,Claims Phased Transformation,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-10.6,baseline,Do Nothing (Cost of Inaction),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-6.1,role_transformation,Redesign Claims Adjuster,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-8.1,skill_intervention,Claims AI Academy,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-2.1,headcount_target,Reduce 15% Org-Wide,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-2.2,headcount_target,Differentiated Function Targets,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-4.1,automation_target,Reach 35% Automation,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-3.1,budget_constraint,$2M Optimized Allocation,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-3.2,budget_constraint,Budget Allocation Comparison (3-way),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-5.3,output_target,"+20% Output, -15% HC in Claims","ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-12.2,composite,$15M in 24 Months (What Does It Take?),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-4.3,automation_target,Task Category Targets,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-9.1a,sequencing,Sequence: Claims → Finance → People,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-9.1b,sequencing,Sequence: People → Finance → Claims,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-9.1c,sequencing,Sequence: Finance → Claims → People,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-9.3a,sequencing,Phase: Reskill → Deploy → Reduce,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-9.3b,sequencing,Phase: Deploy → Reskill → Reduce,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-9.3c,sequencing,Phase: Deploy → Reduce → Reskill,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-7.2,function_transformation,Which Function First? (3-way comparison),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-8.2,skill_intervention,Reskill vs. Hire vs. Contract (AI Ops),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-10.1,sensitivity,Readiness Sweep (20→90),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-10.2,sensitivity,Readiness × Proficiency Interaction,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-10.3,stress_test,Trust Destruction (2 AI Errors),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-10.4,stress_test,Attrition Shock (15% Tech Loss),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-10.5,stress_test,Breakpoint: HC Reduction Limit,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-11.1,regulatory,New Compliance Requirements (+30 tasks),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-11.2,regulatory,AI Now Permitted for Claims Triage,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-12.4,competitive,Competitor Match: 50% Claims Automation,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-12.1,composite,Full 36-Month Transformation Program,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-12.3,composite,3-Year with Moving Ceiling (Annual Reassessment),"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-7.3,function_transformation,Claims-to-Payment Workflow Automation,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-7.4,org_restructure,Merge Claims Processing + Review,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-6.2,role_transformation,Eliminate Claims Data Entry Clerk,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SC-6.3,role_transformation,Create AI Operations Specialist Role,"ERROR: not enough values to unpack (expected 4, got 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
