id,family,name,direction,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback,final_prof,final_trust,final_ready,avg_damp,prod_valley,final_eff_pct,final_raw_pct,final_hmult,months
SC-1.1,technology_injection,Copilot → Claims Processing,forward,OK,3,537,-1906950.0,2203200.0,296250.0,0,27.878642758768347,36.520673594074125,47.89681558871423,0.0724,100.13671504974589,4.84,60.0,0.1335,37
SC-1.2,technology_injection,Copilot → All Functions,forward,OK,21,1349,-3406600.0000000005,5589600.0,2182999.9999999995,0,38.98714220934853,48.967365523211974,57.82846293530223,0.1583,100.1007192141969,10.79,60.0,0.2255,37
SC-1.5,technology_injection,Adoption Gap Only (Free Money),forward,OK,16,1354,-12649366.666666668,14467200.0,1817833.3333333323,0,38.112712007124294,48.50321822495214,57.85938731719963,0.157,100.11682741533951,8.78,50.0,0.2205,37
SC-5.2,output_target,"Maintain Output, -20% Claims HC",inverse,OK,4,536,-4089600.0,4341600.0,252000.0,0,27.369126174608855,36.24851959239842,46.91543285662238,0.0703,100.13671504974589,6.87,89.41,0.1284,25
SC-7.1,function_transformation,Claims Phased Transformation,forward,OK,10,530,-3423350.0,4341600.0,918250.0,0,29.81759158862274,37.56672210302048,47.75002937339461,0.0751,100.15950089137021,8.8,100.0,0.1424,37
SC-10.6,baseline,Do Nothing (Cost of Inaction),forward,OK,0,1370,-5589600.0,5589600.0,0.0,0,33.75,46.25,57.95999999999994,1.0,100.0,0,0.0,0.1956,37
SC-6.1,role_transformation,Redesign Claims Adjuster,forward,OK,3,537,-2609650.0,2786400.0,176750.0,0,26.737054735254386,35.91299982884038,46.936656108024586,0.0697,100.13671504974589,4.46,59.85,0.1255,25
SC-8.1,skill_intervention,Claims AI Academy,forward,OK,0,540,-2008800.0,2008800.0,0.0,0,25.0,35.0,46.99999999999996,1.0,100.0,0,0.0,0.1175,25
SC-2.1,headcount_target,Reduce 15% Org-Wide,inverse,OK,41,1329,-8673633.333333334,11014800.0,2341166.6666666665,0,38.08594413480152,48.48815239545818,56.74137505939067,0.1535,100.1007192141969,15.39,89.41,0.2161,25
SC-2.2,headcount_target,Differentiated Function Targets,inverse,OK,41,1329,-8673633.333333334,11014800.0,2341166.6666666665,0,38.08594413480152,48.48815239545818,56.74137505939067,0.1535,100.1007192141969,15.39,89.41,0.2161,25
