month,hc,adopt_pct,combined_pct,net_freed,net_pos,cum_savings,cum_hc_red
0,540,13.89,13.89,4031.0,0.0,0.0,0
1,540,17.34,17.34,1003.0,-286200.0,0.0,0
2,540,21.26,21.26,1137.0,-572400.0,0.0,0
3,501,25.53,25.53,1240.0,-686100.0,172500.0,39
4,501,30.0,30.0,1296.0,-799800.0,345000.0,39
5,501,34.47,34.47,1296.0,-913500.0,517500.0,39
6,463,38.74,45.68,3256.0,-855533.0,861667.0,77
7,463,42.66,51.33,1638.0,-527567.0,1205833.0,77
8,463,46.11,56.74,1571.0,-199600.0,1550000.0,77
9,435,49.05,61.82,1474.0,254867.0,2020667.0,105
10,435,51.49,66.49,1355.0,709333.0,2491333.0,105
11,435,53.45,70.69,1219.0,1163800.0,2962000.0,105
12,409,55.01,74.38,1071.0,1741767.0,3556167.0,131
13,409,56.22,77.55,920.0,2319733.0,4150333.0,131
14,409,57.15,80.21,772.0,2897700.0,4744500.0,131
15,397,57.87,82.39,634.0,3529667.0,5392667.0,143
16,397,58.4,84.15,510.0,4161633.0,6040833.0,143
17,397,58.81,85.54,403.0,4793600.0,6689000.0,143
18,389,59.11,86.62,314.0,5462900.0,7374500.0,151
19,389,59.34,87.45,242.0,6132200.0,8060000.0,151
20,389,59.51,88.09,185.0,6801500.0,8745500.0,151
21,386,59.64,88.57,140.0,7482550.0,9442750.0,154
22,386,59.73,88.93,105.0,8163600.0,10140000.0,154
23,386,59.8,89.2,79.0,8844650.0,10837250.0,154
24,385,59.85,89.41,59.0,9531367.0,11540167.0,155
25,385,59.89,89.56,44.0,10218083.0,12243083.0,155
26,385,59.92,89.67,33.0,10904800.0,12946000.0,155
27,384,59.94,89.76,24.0,11595183.0,13652583.0,156
28,384,59.96,89.82,18.0,12285567.0,14359167.0,156
29,384,59.97,89.87,13.0,12975950.0,15065750.0,156
30,383,59.98,89.9,10.0,13670333.0,15776333.0,157
31,383,59.98,89.93,7.0,14364717.0,16486917.0,157
32,383,59.99,89.95,5.0,15059100.0,17197500.0,157
33,383,59.99,89.96,4.0,15753483.0,17908083.0,157
34,383,59.99,89.97,3.0,16447867.0,18618667.0,157
35,383,59.99,89.98,2.0,17142250.0,19329250.0,157
36,383,60.0,89.98,2.0,17836633.0,20039833.0,157
