month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,0.91,6.56,25.02,45.08,35.01,60.01,0,0.1128,231.0,0.0,0.4333
1,540,17.34,1.14,6.58,25.04,45.16,35.02,60.03,0,0.1131,58.0,-286200.0,0.4333
2,540,21.26,1.4,6.6,25.07,45.24,35.04,60.04,0,0.1134,66.0,-572400.0,0.4333
3,540,25.53,1.69,6.62,25.11,45.32,35.06,60.07,0,0.1138,73.0,-858600.0,0.4333
4,540,30.0,1.99,6.65,25.15,45.4,35.08,60.09,0,0.1142,77.0,-1144800.0,0.4333
5,540,34.47,2.3,6.68,25.2,45.48,35.1,60.12,0,0.1146,78.0,-1431000.0,0.4333
6,539,45.68,3.06,6.71,25.26,45.54,35.14,60.15,0.0006,0.1151,193.0,-1713200.0,0.4333
7,539,51.33,3.46,6.74,25.34,45.62,35.18,60.19,0.0006,0.1156,100.0,-1725400.0,0.4336
8,539,56.74,3.84,6.77,25.42,45.7,35.22,60.24,0.0006,0.1162,98.0,-1737600.0,0.4336
9,537,61.82,4.21,6.82,25.51,45.74,35.26,60.28,0.0017,0.1167,94.0,-1742050.0,0.4336
10,537,66.49,4.56,6.85,25.6,45.82,35.32,60.34,0.0017,0.1173,86.0,-1746500.0,0.4341
11,537,70.69,4.88,6.9,25.7,45.9,35.37,60.4,0.0017,0.118,81.0,-1750950.0,0.4341
12,537,74.38,5.17,6.95,25.81,45.98,35.43,60.46,0.0017,0.1187,74.0,-1755400.0,0.4341
13,537,77.55,5.43,7.0,25.93,46.06,35.49,60.53,0.0017,0.1194,66.0,-1759850.0,0.4341
14,537,80.21,5.66,7.06,26.04,46.14,35.55,60.61,0.0017,0.1202,58.0,-1764300.0,0.4341
15,536,82.39,5.86,7.11,26.17,46.2,35.61,60.67,0.0022,0.1209,51.0,-1764750.0,0.4341
16,536,84.15,6.03,7.17,26.29,46.28,35.68,60.75,0.0022,0.1217,43.0,-1765200.0,0.4343
17,536,85.54,6.18,7.23,26.42,46.36,35.74,60.83,0.0022,0.1225,38.0,-1765650.0,0.4343
18,536,86.62,6.31,7.29,26.55,46.44,35.81,60.91,0.0022,0.1233,33.0,-1766100.0,0.4343
19,536,87.45,6.43,7.35,26.68,46.52,35.88,60.99,0.0022,0.1241,29.0,-1766550.0,0.4343
20,536,88.09,6.53,7.41,26.82,46.6,35.96,61.07,0.0022,0.125,26.0,-1767000.0,0.4343
21,536,88.57,6.62,7.48,26.95,46.68,36.03,61.16,0.0022,0.1258,24.0,-1767450.0,0.4343
22,536,88.93,6.71,7.55,27.09,46.76,36.1,61.24,0.0022,0.1267,22.0,-1767900.0,0.4343
23,536,89.2,6.79,7.61,27.23,46.84,36.17,61.33,0.0022,0.1275,20.0,-1768350.0,0.4343
24,536,89.41,6.87,7.68,27.37,46.92,36.25,61.42,0.0022,0.1284,19.0,-1768800.0,0.4343
25,536,89.56,6.94,7.75,27.51,47.0,36.32,61.51,0.0022,0.1293,18.0,-1769250.0,0.4343
26,536,89.67,7.01,7.82,27.65,47.08,36.4,61.59,0.0022,0.1302,18.0,-1769700.0,0.4343
27,536,89.76,7.08,7.89,27.8,47.16,36.48,61.69,0.0022,0.1311,18.0,-1770150.0,0.4343
28,536,89.82,7.15,7.96,27.94,47.24,36.55,61.78,0.0022,0.132,17.0,-1770600.0,0.4343
29,536,89.87,7.22,8.03,28.09,47.32,36.63,61.87,0.0022,0.1329,17.0,-1771050.0,0.4343
30,536,89.9,7.29,8.1,28.23,47.4,36.71,61.96,0.0022,0.1338,17.0,-1771500.0,0.4343
31,536,89.93,7.35,8.18,28.38,47.48,36.79,62.05,0.0022,0.1347,17.0,-1771950.0,0.4343
32,536,89.95,7.42,8.25,28.53,47.56,36.87,62.15,0.0022,0.1357,17.0,-1772400.0,0.4343
33,535,89.96,7.49,8.33,28.68,47.62,36.95,62.24,0.0028,0.1365,17.0,-1768267.0,0.4343
34,535,89.97,7.55,8.4,28.83,47.7,37.03,62.33,0.0028,0.1375,16.0,-1764133.0,0.4346
35,535,89.98,7.62,8.47,28.98,47.78,37.11,62.43,0.0028,0.1384,18.0,-1760000.0,0.4346
36,534,89.98,7.69,8.55,29.13,47.84,37.19,62.52,0.0034,0.1393,18.0,-1750700.0,0.4346
