month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,0.91,6.56,25.02,45.08,35.01,60.01,0,0.1128,231.0,0.0,0.4333
1,540,17.34,1.14,6.58,25.04,45.16,35.02,60.03,0,0.1131,58.0,-286200.0,0.4333
2,540,21.26,1.4,6.6,25.07,45.24,35.04,60.04,0,0.1134,66.0,-572400.0,0.4333
3,540,25.53,1.69,6.62,25.11,45.32,35.06,60.07,0,0.1138,73.0,-858600.0,0.4333
4,540,30.0,1.99,6.65,25.15,45.4,35.08,60.09,0,0.1142,77.0,-1144800.0,0.4333
5,540,34.47,2.3,6.68,25.2,45.48,35.1,60.12,0,0.1146,78.0,-1431000.0,0.4333
6,539,45.68,3.06,6.71,25.26,45.54,35.14,60.15,0.0006,0.1151,193.0,-1713200.0,0.4333
7,539,51.33,3.46,6.74,25.34,45.62,24.6,60.19,0.0006,0.1156,100.0,-1725400.0,0.4336
8,539,56.74,2.69,4.74,25.39,45.7,24.63,60.23,0.0006,0.116,0.0,-1737600.0,0.4336
9,539,61.82,2.94,4.76,25.46,45.78,24.67,60.27,0.0006,0.1165,65.0,-1749800.0,0.4336
10,539,66.49,3.18,4.79,25.52,45.86,24.71,60.31,0.0006,0.117,61.0,-1762000.0,0.4336
11,539,70.69,3.41,4.82,25.59,45.94,24.75,60.35,0.0006,0.1176,56.0,-1774200.0,0.4336
12,539,74.38,3.61,4.85,25.67,46.02,24.8,60.4,0.0006,0.1181,51.0,-1786400.0,0.4336
13,539,77.55,3.79,4.88,25.75,46.1,24.85,60.44,0.0006,0.1187,45.0,-1798600.0,0.4336
14,539,80.21,3.94,4.91,25.83,46.18,24.9,60.49,0.0006,0.1193,40.0,-1810800.0,0.4336
15,537,82.39,4.08,4.95,25.92,46.21,24.95,60.53,0.0017,0.1198,34.0,-1815250.0,0.4336
16,537,84.15,4.19,4.98,26.0,46.29,25.0,60.58,0.0017,0.1204,28.0,-1819700.0,0.4341
17,537,85.54,4.29,5.01,26.09,46.37,25.06,60.64,0.0017,0.121,25.0,-1824150.0,0.4341
18,537,86.62,4.37,5.05,26.18,46.45,25.11,60.69,0.0017,0.1216,22.0,-1828600.0,0.4341
19,537,87.45,4.45,5.09,26.28,46.53,25.17,60.75,0.0017,0.1223,19.0,-1833050.0,0.4341
20,537,88.09,4.51,5.12,26.37,46.61,25.23,60.81,0.0017,0.1229,17.0,-1837500.0,0.4341
21,537,88.57,4.57,5.16,26.46,46.69,25.29,60.86,0.0017,0.1236,15.0,-1841950.0,0.4341
22,537,88.93,4.63,5.2,26.56,46.77,25.34,60.92,0.0017,0.1242,14.0,-1846400.0,0.4341
23,537,89.2,4.68,5.24,26.66,46.85,25.4,60.98,0.0017,0.1249,13.0,-1850850.0,0.4341
24,537,89.41,4.72,5.28,26.75,46.93,25.46,61.04,0.0017,0.1256,12.0,-1855300.0,0.4341
25,537,89.56,4.77,5.32,26.85,47.01,25.52,61.1,0.0017,0.1262,11.0,-1859750.0,0.4341
26,537,89.67,4.81,5.37,26.95,47.09,25.59,61.17,0.0017,0.1269,11.0,-1864200.0,0.4341
27,537,89.76,4.85,5.41,27.05,47.17,25.65,61.23,0.0017,0.1276,11.0,-1868650.0,0.4341
28,537,89.82,4.89,5.45,27.15,47.25,25.71,61.29,0.0017,0.1283,10.0,-1873100.0,0.4341
29,537,89.87,4.94,5.49,27.25,47.33,25.77,61.35,0.0017,0.129,10.0,-1877550.0,0.4341
30,537,89.9,4.98,5.54,27.35,47.41,25.83,61.42,0.0017,0.1297,10.0,-1882000.0,0.4341
31,537,89.93,5.02,5.58,27.45,47.49,25.9,61.48,0.0017,0.1304,10.0,-1886450.0,0.4341
32,537,89.95,5.06,5.62,27.56,47.57,25.96,61.54,0.0017,0.1311,10.0,-1890900.0,0.4341
33,537,89.96,5.1,5.67,27.66,47.65,26.03,61.61,0.0017,0.1318,10.0,-1895350.0,0.4341
34,537,89.97,5.14,5.71,27.76,47.73,26.09,61.68,0.0017,0.1325,10.0,-1899800.0,0.4341
35,537,89.98,5.18,5.76,27.87,47.81,26.15,61.74,0.0017,0.1332,10.0,-1904250.0,0.4341
36,537,89.98,5.22,5.8,27.97,47.89,26.22,61.81,0.0017,0.134,11.0,-1908700.0,0.4341
