month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,5.56,40.0,50.07,80.08,70.03,75.07,0,0.4009,1406.0,0.0,0.4333
1,540,17.34,6.81,39.26,50.15,80.16,70.06,75.16,0,0.402,317.0,-286200.0,0.4333
2,540,21.26,8.37,39.36,50.26,80.24,70.11,75.26,0,0.4033,395.0,-572400.0,0.4333
3,530,25.53,10.08,39.48,50.38,80.21,70.16,75.3,0.0057,0.4041,433.0,-816600.0,0.4333
4,530,30.0,11.84,39.46,50.52,80.29,70.22,75.45,0.0057,0.4057,442.0,-1060800.0,0.4358
5,530,34.47,13.65,39.61,50.69,80.37,70.29,75.62,0.0057,0.4074,457.0,-1305000.0,0.4358
6,518,45.68,18.17,39.78,50.91,80.32,70.38,75.74,0.0126,0.4089,1139.0,-1495533.0,0.4358
7,518,51.33,19.99,38.95,51.15,80.4,70.48,75.99,0.0126,0.4113,456.0,-1416067.0,0.4388
8,518,56.74,22.23,39.17,51.42,80.48,70.59,76.28,0.0126,0.4138,560.0,-1336600.0,0.4388
9,506,61.82,24.1,38.98,51.7,80.43,70.71,76.47,0.0197,0.4158,470.0,-1201717.0,0.4388
10,506,66.49,25.96,39.04,52.01,80.51,70.84,76.8,0.0197,0.4187,463.0,-1066833.0,0.4417
11,506,70.69,27.79,39.31,52.33,80.59,70.98,77.15,0.0197,0.4217,456.0,-931950.0,0.4417
12,502,74.38,29.45,39.6,52.67,80.62,71.12,77.49,0.0221,0.4246,414.0,-779650.0,0.4417
13,502,77.55,30.89,39.83,53.02,80.7,71.27,77.88,0.0221,0.4279,357.0,-627350.0,0.4427
14,502,80.21,32.19,40.13,53.39,80.78,71.43,78.29,0.0221,0.4313,325.0,-475050.0,0.4427
15,495,82.39,33.33,40.45,53.76,80.78,71.59,78.65,0.0264,0.4343,283.0,-292500.0,0.4427
16,495,84.15,34.21,40.65,54.13,80.86,71.76,79.08,0.0264,0.4377,218.0,-109950.0,0.4444
17,495,85.54,35.05,40.98,54.52,80.94,71.93,79.53,0.0264,0.4413,209.0,72600.0,0.4444
18,491,86.62,35.78,41.31,54.9,80.98,72.1,79.94,0.0288,0.4446,181.0,272567.0,0.4444
19,491,87.45,36.35,41.57,55.29,81.06,72.27,80.41,0.0288,0.4481,142.0,472533.0,0.4454
20,491,88.09,36.91,41.9,55.67,81.14,72.44,80.88,0.0288,0.4517,138.0,672500.0,0.4454
21,489,88.57,37.41,42.24,56.06,81.19,72.62,81.33,0.03,0.4552,123.0,881967.0,0.4454
22,489,88.93,37.83,42.54,56.45,81.27,72.8,81.82,0.03,0.4588,104.0,1091433.0,0.4459
23,489,89.2,38.24,42.87,56.83,81.35,72.97,82.3,0.03,0.4624,103.0,1300900.0,0.4459
24,485,89.41,38.63,43.21,57.22,81.39,73.15,82.76,0.0325,0.4657,96.0,1530117.0,0.4459
25,485,89.56,38.93,43.47,57.6,81.47,73.33,83.25,0.0325,0.4693,74.0,1759333.0,0.4469
26,485,89.67,39.28,43.8,57.98,81.55,73.51,83.75,0.0325,0.4728,86.0,1988550.0,0.4469
27,484,89.76,39.61,44.13,58.36,81.62,73.68,84.25,0.0331,0.4763,83.0,2220933.0,0.4469
28,484,89.82,39.92,44.45,58.73,81.7,73.86,84.76,0.0331,0.4798,76.0,2453317.0,0.4472
29,484,89.87,40.24,44.78,59.11,81.78,74.04,85.27,0.0331,0.4833,78.0,2685700.0,0.4472
30,483,89.9,40.55,45.1,59.48,81.85,74.22,85.78,0.0337,0.4868,77.0,2925167.0,0.4472
31,483,89.93,40.84,45.41,59.84,81.93,74.4,86.3,0.0337,0.4903,71.0,3164633.0,0.4474
32,483,89.95,41.14,45.74,60.21,82.01,74.58,86.82,0.0337,0.4938,74.0,3404100.0,0.4474
33,481,89.96,41.44,46.06,60.57,82.06,74.76,87.33,0.035,0.4971,74.0,3651233.0,0.4474
34,481,89.97,41.7,46.35,60.93,82.14,74.94,87.86,0.035,0.5005,64.0,3898367.0,0.4479
35,481,89.98,41.99,46.67,61.29,82.22,75.12,88.4,0.035,0.5039,72.0,4145500.0,0.4479
36,479,89.98,42.28,46.99,61.64,82.28,75.29,88.91,0.0362,0.5072,71.0,4402883.0,0.4479
