month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,0.1,0.75,15.0,25.08,20.0,35.0,0,0.0376,26.0,0.0,0.4333
1,540,17.34,0.13,0.75,15.01,25.16,20.0,35.0,0,0.0378,7.0,-286200.0,0.4333
2,540,21.26,0.16,0.76,15.01,25.24,20.01,35.01,0,0.0379,8.0,-572400.0,0.4333
3,540,25.53,0.19,0.76,15.01,25.32,20.01,35.01,0,0.038,8.0,-858600.0,0.4333
4,540,30.0,0.23,0.76,15.02,25.4,20.01,35.01,0,0.0382,9.0,-1144800.0,0.4333
5,540,34.47,0.26,0.76,15.03,25.48,20.01,35.01,0,0.0383,9.0,-1431000.0,0.4333
6,540,45.68,0.35,0.77,15.04,25.56,20.02,35.02,0,0.0384,22.0,-1717200.0,0.4333
7,540,51.33,0.39,0.77,15.05,25.64,20.02,35.02,0,0.0386,11.0,-1733400.0,0.4333
8,540,56.74,0.44,0.77,15.06,25.72,20.03,35.03,0,0.0387,11.0,-1749600.0,0.4333
9,540,61.82,0.48,0.78,15.07,25.8,20.04,35.03,0,0.0389,10.0,-1765800.0,0.4333
10,540,66.49,0.52,0.78,15.08,25.88,20.04,35.04,0,0.039,10.0,-1782000.0,0.4333
11,540,70.69,0.55,0.78,15.09,25.96,20.05,35.05,0,0.0392,9.0,-1798200.0,0.4333
12,540,74.38,0.58,0.79,15.11,26.04,20.06,35.06,0,0.0393,8.0,-1814400.0,0.4333
13,540,77.55,0.61,0.79,15.12,26.12,20.07,35.06,0,0.0395,7.0,-1830600.0,0.4333
14,540,80.21,0.64,0.79,15.14,26.2,20.08,35.07,0,0.0397,6.0,-1846800.0,0.4333
15,540,82.39,0.66,0.8,15.16,26.28,20.09,35.08,0,0.0398,5.0,-1863000.0,0.4333
16,540,84.15,0.67,0.8,15.17,26.36,20.09,35.09,0,0.04,4.0,-1879200.0,0.4333
17,540,85.54,0.69,0.8,15.19,26.44,20.1,35.1,0,0.0402,4.0,-1895400.0,0.4333
18,540,86.62,0.7,0.81,15.21,26.52,20.11,35.11,0,0.0403,3.0,-1911600.0,0.4333
19,540,87.45,0.71,0.81,15.22,26.6,20.12,35.12,0,0.0405,3.0,-1927800.0,0.4333
20,540,88.09,0.72,0.81,15.24,26.68,20.13,35.12,0,0.0407,2.0,-1944000.0,0.4333
21,540,88.57,0.73,0.82,15.26,26.76,20.14,35.13,0,0.0408,2.0,-1960200.0,0.4333
22,540,88.93,0.73,0.82,15.28,26.84,20.15,35.14,0,0.041,2.0,-1976400.0,0.4333
23,540,89.2,0.74,0.83,15.3,26.92,20.16,35.15,0,0.0412,1.0,-1992600.0,0.4333
24,540,89.41,0.74,0.83,15.31,27.0,20.17,35.16,0,0.0413,1.0,-2008800.0,0.4333
25,540,89.56,0.75,0.83,15.33,27.08,20.18,35.17,0,0.0415,1.0,-2025000.0,0.4333
26,540,89.67,0.75,0.84,15.35,27.16,20.19,35.18,0,0.0417,1.0,-2041200.0,0.4333
27,540,89.76,0.76,0.84,15.37,27.24,20.2,35.19,0,0.0419,1.0,-2057400.0,0.4333
28,540,89.82,0.76,0.85,15.39,27.32,20.21,35.2,0,0.042,1.0,-2073600.0,0.4333
29,540,89.87,0.76,0.85,15.41,27.4,20.22,35.21,0,0.0422,1.0,-2089800.0,0.4333
30,540,89.9,0.77,0.85,15.43,27.48,20.23,35.22,0,0.0424,1.0,-2106000.0,0.4333
31,540,89.93,0.77,0.86,15.44,27.56,20.25,35.23,0,0.0426,1.0,-2122200.0,0.4333
32,540,89.95,0.78,0.86,15.46,27.64,20.26,35.24,0,0.0427,1.0,-2138400.0,0.4333
33,540,89.96,0.78,0.87,15.48,27.72,20.27,35.25,0,0.0429,1.0,-2154600.0,0.4333
34,540,89.97,0.78,0.87,15.5,27.8,20.28,35.26,0,0.0431,1.0,-2170800.0,0.4333
35,540,89.98,0.79,0.87,15.52,27.88,20.29,35.27,0,0.0433,1.0,-2187000.0,0.4333
36,540,89.98,0.79,0.88,15.54,27.96,20.3,35.28,0,0.0435,1.0,-2203200.0,0.4333
