month,hc,eff,prof,trust,net_pos
0,540,0.76,25.02,35.01,0.0
1,540,0.95,25.04,35.02,-286200.0
2,540,1.17,25.06,35.03,-572400.0
3,540,1.41,25.09,35.05,-858600.0
4,540,1.66,25.13,35.07,-1144800.0
5,540,1.91,25.17,35.09,-1431000.0
6,540,2.16,25.21,35.11,-1717200.0
7,540,2.39,25.26,35.14,-1733400.0
8,540,2.59,25.32,35.17,-1749600.0
9,539,2.77,25.38,35.2,-1761800.0
10,539,2.92,25.44,35.23,-1774000.0
11,539,3.05,25.5,35.26,-1786200.0
12,539,3.16,25.57,35.3,-1798400.0
13,539,3.24,25.64,35.33,-1810600.0
14,539,3.31,25.7,35.37,-1822800.0
15,539,3.37,25.78,35.41,-1835000.0
16,539,3.42,25.85,35.44,-1847200.0
17,539,3.47,25.92,35.48,-1859400.0
18,539,3.5,25.99,35.52,-1871600.0
19,539,3.54,26.07,35.56,-1883800.0
20,539,3.57,26.14,35.6,-1896000.0
21,539,3.6,26.21,35.64,-1908200.0
22,539,3.62,26.29,35.68,-1920400.0
23,539,3.65,26.37,35.72,-1932600.0
24,539,3.67,26.44,35.76,-1944800.0
25,539,3.69,26.52,35.8,-1957000.0
26,539,3.72,26.59,35.84,-1969200.0
27,538,3.74,26.67,35.88,-1976817.0
28,538,3.76,26.75,35.92,-1984433.0
29,538,3.78,26.83,35.96,-1992050.0
30,538,3.8,26.9,36.0,-1999667.0
31,538,3.83,26.98,36.04,-2007283.0
32,538,3.85,27.06,36.09,-2014900.0
33,537,3.87,27.14,36.13,-2019350.0
34,537,3.89,27.22,36.17,-2023800.0
35,537,3.91,27.3,36.21,-2028250.0
36,537,3.94,27.38,36.25,-2032700.0
