id,family,name,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback,final_prof,final_trust,final_ready,avg_damp,final_eff_pct,final_hmult
SC-1.1,technology_injection,Copilot → Claims Processing,OK,30,510,1102799.9999999995,2203200.0,3305999.9999999995,27,37.042498680472875,41.638011878248165,47.331023536098584,0.3288,23.2,0.4259
SC-1.2,technology_injection,Copilot → All Functions,OK,84,1286,6493733.333333334,5589600.0,12083333.333333334,19,47.47555046580822,53.72723711293663,57.42236521280851,0.4571,29.92,0.532
SC-1.5,technology_injection,Adoption Gap Only (Free Money),OK,74,1296,-4381616.666666664,14467200.0,10085583.333333336,0,45.392020492908756,52.51241490024263,57.489494553383295,0.4544,24.53,0.5226
SC-5.2,output_target,"Maintain Output, -20% Claims HC",OK,49,491,-1456600.0,4341600.0,2885000.0,0,34.83358635576309,40.358069978322696,45.95798395394363,0.3127,33.1,0.4094
SC-7.1,function_transformation,Claims Phased Transformation,OK,64,476,2321150.000000001,4341600.0,6662750.000000001,25,44.07811609207036,45.9109227960508,46.60900762964529,0.3414,42.26,0.4558
SC-10.6,baseline,Do Nothing (Cost of Inaction),OK,0,1370,-5589600.0,5589600.0,0.0,0,33.75,46.25,57.95999999999994,1.0,0,0.4714
SC-6.1,role_transformation,Redesign Claims Adjuster,OK,28,512,-770149.9999999998,2786400.0,2016250.0000000002,0,32.40108376881891,38.98789942908214,46.403844018843,0.3121,19.68,0.4002
SC-8.1,skill_intervention,Claims AI Academy,OK,0,540,-2008800.0,2008800.0,0.0,0,25.0,35.0,46.99999999999996,1.0,0,0.369
SC-2.1,headcount_target,Reduce 15% Org-Wide,OK,138,1232,-524049.99999999814,11014800.0,10490750.000000002,0,45.257024822058916,52.42779556447705,56.10561643286375,0.4414,42.9,0.5157
SC-2.2,headcount_target,Differentiated Function Targets,OK,138,1232,-524049.99999999814,11014800.0,10490750.000000002,0,45.257024822058916,52.42779556447705,56.10561643286375,0.4414,42.9,0.5157
SC-4.1,automation_target,Reach 35% Automation,OK,170,1200,8484300.0,14467200.0,22951500.0,21,54.47321437949148,58.07789661517142,56.85294728961314,0.4624,52.2,0.5627
SC-3.1,budget_constraint,$2M Optimized Allocation,OK,138,1232,-524049.99999999814,11014800.0,10490750.000000002,0,45.257024822058916,52.42779556447705,56.10561643286375,0.4414,42.9,0.5157
SC-3.2,budget_constraint,Budget Allocation Comparison (3-way),OK,150,1220,4811716.666666668,14467200.0,19278916.666666668,26,52.17304634935187,56.59639888012553,56.99420586087136,0.4604,46.24,0.5523
SC-5.3,output_target,"+20% Output, -15% HC in Claims",OK,57,483,-738266.6666666674,4341600.0,3603333.3333333326,0,36.48342539164216,41.30653983254233,45.77704912977887,0.3125,36.38,0.4163
SC-12.2,composite,$15M in 24 Months (What Does It Take?),OK,159,1211,3656283.3333333377,11014800.0,14671083.333333338,17,48.04267313311931,54.05403934363632,55.9467245507365,0.441,48.98,0.528
SC-4.3,automation_target,Task Category Targets,OK,170,1200,8484300.0,14467200.0,22951500.0,21,54.47321437949148,58.07789661517142,56.85294728961314,0.4624,52.2,0.5627
SC-9.1a,sequencing,Sequence: Claims → Finance → People,OK,102,863,1316599.9999999981,10190400.0,11506999.999999998,31,44.31717446318598,50.21162095671733,51.893642769836184,0.4014,40.91,0.4891
SC-9.1b,sequencing,Sequence: People → Finance → Claims,OK,102,863,1316599.9999999981,10190400.0,11506999.999999998,31,44.31717446318598,50.21162095671733,51.893642769836184,0.4014,40.91,0.4891
SC-9.1c,sequencing,Sequence: Finance → Claims → People,OK,102,863,1316599.9999999981,10190400.0,11506999.999999998,31,44.31717446318598,50.21162095671733,51.893642769836184,0.4014,40.91,0.4891
SC-9.3a,sequencing,Phase: Reskill → Deploy → Reduce,OK,54,486,-95066.66666666605,5702400.0,5607333.333333334,0,41.66807867862568,44.408015231674156,46.82194715914599,0.3359,35.71,0.4454
SC-9.3b,sequencing,Phase: Deploy → Reskill → Reduce,OK,54,486,-95066.66666666605,5702400.0,5607333.333333334,0,41.66807867862568,44.408015231674156,46.82194715914599,0.3359,35.71,0.4454
SC-9.3c,sequencing,Phase: Deploy → Reduce → Reskill,OK,35,505,-1977066.6666666665,5702400.0,3725333.3333333335,0,37.02626419441462,41.62853072811596,47.22539302361029,0.3284,23.14,0.4254
SC-7.2,function_transformation,Which Function First? (3-way comparison),OK,86,879,-2877616.6666666665,6542700.0,3665083.3333333335,0,32.9815381687817,43.977574930798546,50.61095746294156,0.3733,34.83,0.4311
SC-8.2,skill_intervention,Reskill vs. Hire vs. Contract (AI Ops),OK,0,945,-3515400.0,3515400.0,0.0,0,42.5,50.0,59.49999999999996,1.0,0,0.5165
SC-10.1,sensitivity,Readiness Sweep (20→90),OK,54,486,-95066.66666666605,5702400.0,5607333.333333334,0,41.66807867862568,44.408015231674156,46.82194715914599,0.3359,35.71,0.4454
SC-10.2,sensitivity,Readiness × Proficiency Interaction,OK,54,486,-95066.66666666605,5702400.0,5607333.333333334,0,41.66807867862568,44.408015231674156,46.82194715914599,0.3359,35.71,0.4454
SC-10.3,stress_test,Trust Destruction (2 AI Errors),OK,44,496,-795316.6666666679,5702400.0,4907083.333333332,0,40.35041641962447,33.783628427523695,46.93050587400905,0.3095,30.57,0.42
SC-10.4,stress_test,Attrition Shock (15% Tech Loss),OK,50,355,4927783.33333333,4276800.0,9204583.33333333,17,71.76785662742627,74.19807424467035,72.16240157219589,0.6588,63.82,0.7243
SC-10.5,stress_test,Breakpoint: HC Reduction Limit,OK,64,476,1834850.000000001,5702400.0,7537250.000000001,25,45.40087883763242,46.755973953413886,46.586623225637425,0.3531,42.83,0.4621
SC-11.1,regulatory,New Compliance Requirements (+30 tasks),OK,54,486,-95066.66666666605,5702400.0,5607333.333333334,0,41.66807867862568,44.408015231674156,46.82194715914599,0.3359,35.71,0.4454
SC-11.2,regulatory,AI Now Permitted for Claims Triage,OK,52,488,2604100.0,2786400.0,5390500.0,22,41.6809097463036,44.41590050150705,46.867025518228985,0.3362,35.74,0.4456
SC-12.4,competitive,Competitor Match: 50% Claims Automation,OK,49,491,-1076200.0,3661200.0,2585000.0,0,33.878466337331545,39.81343044689584,45.453743146007604,0.3065,33.53,0.4027
SC-12.1,composite,Full 36-Month Transformation Program,OK,170,1200,8484300.0,14467200.0,22951500.0,21,54.47321437949148,58.07789661517142,56.85294728961314,0.4624,52.2,0.5627
SC-12.3,composite,3-Year with Moving Ceiling (Annual Reassessment),OK,166,1204,7261550.000000007,14467200.0,21728750.000000007,23,53.74747227404251,57.60363384094655,56.88186851603036,0.4616,51.88,0.5593
SC-7.3,function_transformation,Claims-to-Payment Workflow Automation,OK,79,700,842773.333333333,4393560.0,5236333.333333333,21,39.881059481939445,44.369734445395196,48.40087784518149,0.3549,41.45,0.4461
SC-7.4,org_restructure,Merge Claims Processing + Review,OK,0,540,-1911600.0,1911600.0,0.0,0,25.0,35.0,46.51999999999997,1.0,0,0.3668
SC-6.2,role_transformation,Eliminate Claims Data Entry Clerk,OK,32,508,-1328300.0,2332800.0,1004499.9999999999,0,29.363495247504773,37.317619355425954,45.350466732180486,0.2998,23.52,0.3815
