month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,4.25,30.6,25.09,45.08,35.05,60.05,0,0.3608,1075.0,0.0,0.4333
1,540,17.34,5.21,30.03,25.2,45.16,35.1,60.12,0,0.3616,242.0,-286200.0,0.4333
2,540,21.26,6.4,30.1,25.34,45.24,35.18,60.2,0,0.3626,301.0,-572400.0,0.4333
3,534,25.53,7.71,30.18,25.5,45.19,35.26,60.24,0.0034,0.3631,331.0,-833100.0,0.4333
4,534,30.0,9.05,30.17,25.69,45.27,35.36,60.36,0.0034,0.3644,340.0,-1093800.0,0.4348
5,534,34.47,10.43,30.27,25.91,45.35,35.47,60.49,0.0034,0.3657,349.0,-1354500.0,0.4348
6,525,45.68,13.88,30.39,26.2,45.24,35.63,60.58,0.0085,0.3665,870.0,-1576950.0,0.4348
7,525,51.33,15.43,30.05,26.52,45.32,35.8,60.78,0.0085,0.3683,388.0,-1529400.0,0.437
8,525,56.74,17.14,30.2,26.87,45.4,35.98,61.0,0.0085,0.3703,430.0,-1481850.0,0.437
9,516,61.82,18.77,30.37,27.25,45.29,36.19,61.15,0.0137,0.3715,411.0,-1393800.0,0.437
10,516,66.49,20.21,30.39,27.67,45.36,36.41,61.41,0.0137,0.3738,359.0,-1305750.0,0.4393
11,516,70.69,21.61,30.57,28.1,45.44,36.64,61.68,0.0137,0.3761,352.0,-1217700.0,0.4393
12,510,74.38,22.88,30.77,28.56,45.4,36.89,61.92,0.0173,0.378,319.0,-1099650.0,0.4393
13,510,77.55,23.94,30.87,29.04,45.48,37.14,62.22,0.0173,0.3806,263.0,-981600.0,0.4407
14,510,80.21,24.93,31.08,29.53,45.56,37.41,62.54,0.0173,0.3832,247.0,-863550.0,0.4407
15,505,82.39,25.78,31.29,30.04,45.53,37.68,62.82,0.0202,0.3854,213.0,-723000.0,0.4407
16,505,84.15,26.44,31.43,30.55,45.61,37.96,63.16,0.0202,0.3881,165.0,-582450.0,0.442
17,505,85.54,27.07,31.65,31.07,45.69,38.25,63.5,0.0202,0.3909,156.0,-441900.0,0.442
18,502,86.62,27.61,31.87,31.6,45.71,38.54,63.82,0.022,0.3933,134.0,-289600.0,0.442
19,502,87.45,28.03,32.05,32.12,45.79,38.83,64.18,0.022,0.3961,105.0,-137300.0,0.4427
20,502,88.09,28.43,32.28,32.65,45.87,39.13,64.54,0.022,0.399,101.0,15000.0,0.4427
21,502,88.57,28.79,32.5,33.19,45.95,39.43,64.91,0.022,0.4018,89.0,167300.0,0.4427
22,502,88.93,29.11,32.73,33.72,46.03,39.73,65.28,0.022,0.4046,80.0,319600.0,0.4427
23,502,89.2,29.41,32.96,34.25,46.11,40.03,65.66,0.022,0.4074,73.0,471900.0,0.4427
24,495,89.41,33.17,37.1,34.85,46.05,40.36,66.01,0.0263,0.4099,937.0,654450.0,0.4427
25,495,89.56,33.0,36.85,35.43,46.13,40.7,66.43,0.0263,0.413,0.0,837000.0,0.4444
26,495,89.67,33.29,37.13,36.01,46.21,41.03,66.85,0.0263,0.416,72.0,1019550.0,0.4444
27,495,89.76,33.57,37.4,36.59,46.29,41.37,67.28,0.0263,0.4191,69.0,1202100.0,0.4444
28,495,89.82,33.84,37.68,37.17,46.37,41.71,67.71,0.0263,0.4222,67.0,1384650.0,0.4444
29,495,89.87,34.11,37.95,37.75,46.45,42.05,68.15,0.0263,0.4252,66.0,1567200.0,0.4444
30,494,89.9,34.37,38.23,38.32,46.51,42.39,68.58,0.0269,0.4282,64.0,1754333.0,0.4444
31,494,89.93,34.61,38.48,38.89,46.59,42.72,69.02,0.0269,0.4312,59.0,1941467.0,0.4447
32,494,89.95,34.86,38.76,39.46,46.67,43.06,69.46,0.0269,0.4342,63.0,2128600.0,0.4447
33,492,89.96,35.11,39.03,40.02,46.71,43.4,69.89,0.0281,0.4371,62.0,2325400.0,0.4447
34,492,89.97,35.32,39.26,40.58,46.79,43.74,70.34,0.0281,0.4401,53.0,2522200.0,0.4452
35,492,89.98,35.57,39.53,41.14,46.87,44.08,70.79,0.0281,0.4431,61.0,2719000.0,0.4452
36,491,89.98,35.81,39.8,41.69,46.93,44.42,71.24,0.0287,0.446,60.0,2918967.0,0.4452
