month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,4.25,30.6,25.09,45.08,35.05,60.05,0,0.3608,1075.0,0.0,0.4333
1,540,17.34,5.21,30.03,25.2,45.16,35.1,60.12,0,0.3616,242.0,-286200.0,0.4333
2,540,21.26,6.4,30.1,25.34,45.24,35.18,60.2,0,0.3626,301.0,-572400.0,0.4333
3,534,25.53,7.71,30.18,25.5,45.19,35.26,60.24,0.0034,0.3631,331.0,-833100.0,0.4333
4,534,30.0,9.05,30.17,25.69,45.27,35.36,60.36,0.0034,0.3644,340.0,-1093800.0,0.4348
5,534,34.47,10.43,30.27,25.91,45.35,35.47,60.49,0.0034,0.3657,349.0,-1354500.0,0.4348
6,525,45.68,13.88,30.39,26.2,45.24,35.63,60.58,0.0085,0.3665,870.0,-1576950.0,0.4348
7,525,51.33,15.43,30.05,26.52,45.32,24.94,60.78,0.0085,0.3466,388.0,-1529400.0,0.437
8,525,56.74,16.13,28.42,26.85,45.4,25.14,60.99,0.0085,0.3486,176.0,-1481850.0,0.437
9,518,61.82,17.67,28.58,27.21,45.3,25.37,61.14,0.0126,0.3498,388.0,-1402383.0,0.437
10,518,66.49,19.04,28.63,27.6,45.38,25.61,61.39,0.0126,0.352,342.0,-1322917.0,0.4388
11,518,70.69,20.36,28.81,28.01,45.46,25.87,61.65,0.0126,0.3543,333.0,-1243450.0,0.4388
12,512,74.38,21.57,29.0,28.45,45.38,26.14,61.86,0.0161,0.3561,302.0,-1135150.0,0.4388
13,512,77.55,22.56,29.09,28.9,45.46,26.42,62.15,0.0161,0.3586,248.0,-1026850.0,0.4402
14,512,80.21,23.5,29.3,29.36,45.54,26.72,62.45,0.0161,0.3611,234.0,-918550.0,0.4402
15,506,82.39,24.31,29.51,29.84,45.46,27.02,62.7,0.0196,0.3631,203.0,-783667.0,0.4402
16,506,84.15,24.92,29.61,30.32,45.54,27.33,63.02,0.0196,0.3657,152.0,-648783.0,0.4417
17,506,85.54,25.52,29.83,30.82,45.62,27.64,63.34,0.0196,0.3685,149.0,-513900.0,0.4417
18,505,86.62,26.03,30.05,31.31,45.68,27.96,63.67,0.0202,0.3711,128.0,-373350.0,0.4417
19,505,87.45,26.46,30.26,31.82,45.76,28.29,64.0,0.0202,0.3738,107.0,-232800.0,0.442
20,505,88.09,26.85,30.48,32.32,45.84,28.62,64.35,0.0202,0.3766,97.0,-92250.0,0.442
21,503,88.57,27.2,30.71,32.83,45.86,28.95,64.67,0.0214,0.3792,87.0,56883.0,0.442
22,503,88.93,27.48,30.9,33.33,45.94,29.28,65.02,0.0214,0.382,70.0,206017.0,0.4425
23,503,89.2,27.77,31.13,33.84,46.02,29.61,65.38,0.0214,0.3848,72.0,355150.0,0.4425
24,502,89.41,28.04,31.36,34.34,46.08,29.95,65.72,0.022,0.3875,67.0,507450.0,0.4425
25,502,89.56,28.27,31.57,34.85,46.16,30.28,66.08,0.022,0.3903,59.0,659750.0,0.4427
26,502,89.67,28.51,31.8,35.35,46.24,30.62,66.45,0.022,0.3931,60.0,812050.0,0.4427
27,502,89.76,28.74,32.02,35.86,46.32,30.96,66.81,0.022,0.3959,58.0,964350.0,0.4427
28,502,89.82,28.97,32.25,36.36,46.4,31.3,67.18,0.022,0.3987,56.0,1116650.0,0.4427
29,502,89.87,29.19,32.48,36.86,46.48,31.64,67.56,0.022,0.4015,55.0,1268950.0,0.4427
30,502,89.9,29.4,32.71,37.36,46.56,31.98,67.93,0.022,0.4042,54.0,1421250.0,0.4427
31,502,89.93,29.62,32.94,37.86,46.64,32.33,68.31,0.022,0.407,53.0,1573550.0,0.4427
32,502,89.95,29.83,33.16,38.36,46.72,32.67,68.69,0.022,0.4098,52.0,1725850.0,0.4427
33,500,89.96,30.04,33.39,38.85,46.75,33.01,69.05,0.0232,0.4124,52.0,1886733.0,0.4427
34,500,89.97,30.21,33.58,39.34,46.83,33.36,69.44,0.0232,0.4151,43.0,2047617.0,0.4432
35,500,89.98,30.42,33.8,39.83,46.91,33.7,69.83,0.0232,0.4179,51.0,2208500.0,0.4432
36,499,89.98,30.62,34.03,40.32,46.97,34.05,70.21,0.0238,0.4206,51.0,2374550.0,0.4432
