month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,9.37,67.5,50.12,80.08,70.05,75.12,0,0.6759,2372.0,0.0,0.4333
1,540,17.34,11.23,64.77,50.25,80.16,70.11,75.26,0,0.6768,470.0,-286200.0,0.4333
2,540,21.26,13.79,64.86,50.42,80.24,70.18,75.44,0,0.6779,647.0,-572400.0,0.4333
3,519,25.53,16.41,64.26,50.62,80.09,70.26,75.45,0.0121,0.6781,662.0,-768600.0,0.4333
4,519,30.0,18.96,63.2,50.85,80.17,70.35,75.69,0.0121,0.6795,640.0,-964800.0,0.4385
5,519,34.47,21.58,62.62,51.11,80.25,70.46,75.96,0.0121,0.6809,658.0,-1161000.0,0.4385
6,502,45.68,28.67,62.76,51.46,80.14,70.61,76.16,0.0223,0.6819,1777.0,-1278700.0,0.4385
7,502,51.33,31.39,61.15,51.83,80.22,70.76,76.56,0.0223,0.6839,675.0,-1126400.0,0.4427
8,502,56.74,34.8,61.32,52.24,80.3,70.94,77.0,0.0223,0.686,849.0,-974100.0,0.4427
9,487,61.82,38.03,61.52,52.68,80.2,71.12,77.33,0.0315,0.6875,804.0,-756050.0,0.4427
10,487,66.49,41.29,62.1,53.15,80.28,71.33,77.86,0.0315,0.6899,805.0,-538000.0,0.4464
11,487,70.69,44.55,63.02,53.65,80.36,71.54,78.43,0.0315,0.6925,806.0,-319950.0,0.4464
12,473,74.38,47.58,63.97,54.17,80.28,71.77,78.89,0.0404,0.6944,749.0,-38483.0,0.4464
13,473,77.55,50.1,64.6,54.72,80.36,72.01,79.53,0.0404,0.6972,619.0,242983.0,0.4499
14,473,80.21,52.59,65.57,55.28,80.44,72.27,80.2,0.0404,0.7,613.0,524450.0,0.4499
15,462,82.39,54.83,66.55,55.86,80.39,72.52,80.78,0.0476,0.7023,550.0,856417.0,0.4499
16,462,84.15,57.21,67.99,56.44,80.47,72.79,81.51,0.0476,0.7052,582.0,1188383.0,0.4526
17,462,85.54,59.02,69.0,57.04,80.55,73.06,82.26,0.0476,0.7082,441.0,1520350.0,0.4526
18,455,86.62,60.02,69.29,57.63,80.54,73.34,82.95,0.0522,0.7108,244.0,1882567.0,0.4526
19,455,87.45,60.69,69.4,58.22,80.62,73.61,83.72,0.0522,0.7138,165.0,2244783.0,0.4543
20,455,88.09,61.39,69.69,58.8,80.7,73.89,84.5,0.0522,0.7167,170.0,2607000.0,0.4543
21,451,88.57,61.98,69.98,59.37,80.73,74.16,85.25,0.0548,0.7194,144.0,2990883.0,0.4543
22,451,88.93,62.4,70.16,59.94,80.81,74.44,86.04,0.0548,0.7223,102.0,3374767.0,0.4553
23,451,89.2,62.84,70.45,60.49,80.89,74.71,86.85,0.0548,0.7252,107.0,3758650.0,0.4553
24,449,89.41,63.23,70.72,61.04,80.95,74.98,87.63,0.0562,0.7279,95.0,4151700.0,0.4553
25,449,89.56,63.54,70.95,61.58,81.03,75.25,88.44,0.0562,0.7307,75.0,4544750.0,0.4558
26,449,89.67,63.86,71.22,62.1,81.11,75.52,89.25,0.0562,0.7334,79.0,4937800.0,0.4558
27,449,89.76,64.16,71.49,62.62,81.19,75.79,90.07,0.0562,0.7361,73.0,5330850.0,0.4558
28,449,89.82,64.45,71.75,63.13,81.27,76.05,90.89,0.0562,0.7388,68.0,5723900.0,0.4558
29,449,89.87,64.71,72.01,63.63,81.35,76.32,91.72,0.0562,0.7414,65.0,6116950.0,0.4558
30,448,89.9,64.97,72.27,64.12,81.42,76.58,92.54,0.0568,0.744,62.0,6513167.0,0.4558
31,448,89.93,65.19,72.49,64.6,81.5,76.84,93.37,0.0568,0.7465,54.0,6909383.0,0.456
32,448,89.95,65.43,72.74,65.07,81.58,77.1,94.2,0.0568,0.749,58.0,7305600.0,0.456
33,447,89.96,65.66,72.99,65.53,81.65,77.35,95.03,0.0575,0.7515,56.0,7706400.0,0.456
34,447,89.97,65.86,73.21,65.99,81.73,77.61,95.87,0.0575,0.7539,49.0,8107200.0,0.4563
35,447,89.98,66.08,73.45,66.43,81.81,77.86,96.71,0.0575,0.7563,54.0,8508000.0,0.4563
36,445,89.98,66.3,73.68,66.86,81.86,78.11,97.53,0.0589,0.7586,52.0,8916467.0,0.4563
