month,raw_adoption,effective_adoption,dampening,headcount,hc_pct,proficiency,readiness,trust,political_capital,fatigue,human_multiplier,skill_gap,net_position,productivity,absorption_rate,b4_seniority
0,0.1389,0.04,0.288,540,100.0,25.1,45.1,35.0,60.1,0.2,0.3609,1,0.0,99.8,0.3,1.0
1,0.1734,0.0496,0.286,540,100.0,25.2,45.2,35.1,60.1,0.2,0.3618,1,-271620.0,99.8,0.3,1.0
2,0.2126,0.061,0.2871,540,100.0,25.3,45.4,35.2,60.2,0.2,0.3629,1,-543240.0,99.8,0.3,1.0
3,0.2553,0.08,0.2885,530,98.1,25.4,45.3,35.3,60.2,0.4,0.3633,1,-772860.0,100.5,0.3,0.9972
4,0.3,0.0992,0.2886,530,98.1,25.6,45.5,35.4,60.3,0.4,0.3649,1,-1002480.0,100.6,0.3074,0.9972
5,0.3447,0.1191,0.2907,530,98.1,25.8,45.6,35.5,60.5,0.5,0.3667,1,-1232103.0,100.9,0.3074,0.9972
6,0.4568,0.1691,0.2931,516,95.6,26.1,45.5,35.7,60.6,0.8,0.3677,2,-1395522.0,101.0,0.3074,0.9933
7,0.5133,0.1994,0.291,516,95.6,26.5,45.8,35.9,60.8,0.8,0.3705,2,-1289191.0,101.3,0.3178,0.9933
8,0.5674,0.2172,0.2947,516,95.6,26.9,46.0,36.1,61.1,0.9,0.3734,2,-1183151.0,102.0,0.3178,0.9933
9,0.6182,0.2347,0.2988,505,93.5,27.3,46.1,36.4,61.3,1.1,0.3755,2,-1029393.0,102.4,0.3178,0.9903
10,0.6649,0.2504,0.3014,505,93.5,27.7,46.4,36.7,61.6,1.2,0.3789,2,-875890.0,102.7,0.3259,0.9903
11,0.7069,0.2664,0.3061,505,93.5,28.2,46.6,36.9,61.9,1.2,0.3824,2,-722645.0,102.9,0.3259,0.9903
12,0.7438,0.2814,0.3111,495,91.7,28.6,46.7,37.2,62.2,1.4,0.3851,2,-522560.0,103.2,0.3259,0.9875
13,0.7755,0.294,0.3146,495,91.7,29.1,47.0,37.6,62.6,1.4,0.3889,2,-322679.0,103.4,0.3333,0.9875
14,0.8021,0.3067,0.3201,495,91.7,29.7,47.4,37.9,63.0,1.5,0.3928,2,-123005.0,103.6,0.3333,0.9875
15,0.8239,0.3184,0.3258,487,90.2,30.2,47.5,38.2,63.3,1.6,0.396,2,113064.0,103.8,0.3333,0.9853
16,0.8415,0.3279,0.3303,487,90.2,30.7,47.9,38.6,63.7,1.6,0.4001,2,348978.0,103.9,0.3393,0.9853
17,0.8554,0.3377,0.3364,487,90.2,31.3,48.2,38.9,64.1,1.7,0.4043,2,584734.0,104.1,0.3393,0.9853
18,0.8662,0.3468,0.3426,481,89.1,31.9,48.4,39.3,64.5,1.8,0.408,2,846926.0,104.3,0.3393,0.9836
19,0.8745,0.3543,0.348,481,89.1,32.4,48.8,39.6,65.0,1.8,0.4123,2,1108996.0,104.4,0.3437,0.9836
20,0.8809,0.3623,0.3546,481,89.1,33.0,49.1,40.0,65.4,1.8,0.4167,2,1370936.0,104.5,0.3437,0.9836
21,0.8857,0.3699,0.3612,477,88.3,33.6,49.4,40.4,65.9,1.9,0.4207,2,1656253.0,104.6,0.3437,0.9825
22,0.8893,0.3747,0.3651,477,88.3,34.2,49.8,40.8,66.3,1.9,0.4251,2,1941494.0,104.7,0.3467,0.9825
23,0.892,0.3798,0.3697,477,88.3,34.8,50.1,41.2,66.8,1.9,0.4296,2,2226652.0,104.8,0.3467,0.9825
24,0.8941,0.3847,0.3743,474,87.8,35.3,50.4,41.5,67.3,2.0,0.4338,2,2524063.0,104.9,0.3467,0.9817
25,0.8956,0.389,0.3785,474,87.8,35.9,50.8,41.9,67.8,2.0,0.4382,2,2821405.0,105.0,0.3489,0.9817
26,0.8967,0.3936,0.3832,474,87.8,36.5,51.2,42.3,68.3,2.0,0.4427,2,3118672.0,105.1,0.3489,0.9817
27,0.8976,0.3982,0.3879,470,87.0,37.1,51.5,42.7,68.7,2.0,0.4469,2,3437531.0,105.1,0.3489,0.9806
28,0.8982,0.402,0.3919,470,87.0,37.7,51.8,43.1,69.3,2.0,0.4513,2,3756328.0,105.2,0.3519,0.9806
29,0.8987,0.4065,0.3967,470,87.0,38.3,52.2,43.5,69.8,2.0,0.4558,2,4075052.0,105.3,0.3519,0.9806
30,0.899,0.411,0.4015,468,86.7,38.8,52.5,43.9,70.3,2.1,0.4602,2,4402537.0,105.3,0.3519,0.98
31,0.8993,0.4151,0.406,468,86.7,39.4,52.9,44.3,70.8,2.1,0.4647,2,4729956.0,105.4,0.3533,0.98
32,0.8995,0.4195,0.4109,468,86.7,40.0,53.3,44.7,71.3,2.1,0.4692,2,5057303.0,105.4,0.3533,0.98
33,0.8996,0.424,0.4157,465,86.1,40.6,53.6,45.1,71.8,2.1,0.4734,2,5396827.0,105.5,0.3533,0.9792
34,0.8997,0.4279,0.42,465,86.1,41.2,54.0,45.5,72.4,2.1,0.4779,2,5736289.0,105.6,0.3556,0.9792
35,0.8998,0.4324,0.425,465,86.1,41.7,54.4,45.9,72.9,2.2,0.4824,2,6075678.0,105.6,0.3556,0.9792
36,0.8998,0.4368,0.4299,464,85.9,42.3,54.7,46.3,73.5,2.2,0.4869,2,6420161.0,105.7,0.3556,0.9789
