month,P1_hc,P1_hc_pct,P1_adoption,P1_net_$,P1_trust,P1_proficiency,P1_productivity,P2_hc,P2_hc_pct,P2_adoption,P2_net_$,P2_trust,P2_proficiency,P2_productivity,P3_hc,P3_hc_pct,P3_adoption,P3_net_$,P3_trust,P3_proficiency,P3_productivity,P4_hc,P4_hc_pct,P4_adoption,P4_net_$,P4_trust,P4_proficiency,P4_productivity,P5_hc,P5_hc_pct,P5_adoption,P5_net_$,P5_trust,P5_proficiency,P5_productivity
0,540,100.0,0.0333,0.0,35.0,25.1,99.8,540,100.0,0.04,0.0,35.0,25.1,99.8,540,100.0,0.0597,0.0,35.1,25.1,99.6,540,100.0,0.04,0.0,35.0,25.1,99.8,540,100.0,0.0533,0.0,35.1,25.1,99.6
1,540,100.0,0.0413,-271620.0,35.1,25.1,99.8,540,100.0,0.0496,-271620.0,35.1,25.2,99.8,540,100.0,0.0752,-271620.0,35.1,25.2,99.5,540,100.0,0.0496,-271620.0,35.1,25.2,99.8,524,97.0,0.0805,-203370.0,35.1,25.2,99.5
2,540,100.0,0.0508,-543240.0,35.1,25.2,99.8,540,100.0,0.061,-543240.0,35.2,25.3,99.8,540,100.0,0.0942,-543240.0,35.3,25.4,99.5,540,100.0,0.061,-543240.0,35.2,25.3,99.8,522,96.7,0.1129,-394740.0,35.3,25.4,99.5
3,533,98.7,0.0658,-784610.0,35.2,25.3,100.4,530,98.1,0.08,-772860.0,35.3,25.4,100.5,517,95.7,0.1302,-712349.0,35.4,25.6,100.6,540,100.0,0.0737,-814860.0,35.2,25.4,100.5,512,94.8,0.1554,-537332.0,35.4,25.7,100.5
4,533,98.7,0.0812,-1025980.0,35.3,25.5,100.5,530,98.1,0.0992,-1002480.0,35.4,25.6,100.6,517,95.7,0.202,-882371.0,35.6,26.0,100.5,540,100.0,0.087,-1086480.0,35.3,25.6,100.7,503,93.1,0.2181,-637306.0,35.7,26.1,100.7
5,533,98.7,0.0969,-1267350.0,35.4,25.7,100.7,530,98.1,0.1191,-1232103.0,35.5,25.8,100.9,517,95.7,0.2448,-1052837.0,35.9,26.4,100.8,540,100.0,0.1006,-1358110.0,35.5,25.7,100.8,495,91.7,0.2495,-704788.0,36.0,26.6,101.3
6,527,97.6,0.1166,-1481303.0,35.5,25.9,101.0,516,95.6,0.1691,-1395522.0,35.7,26.1,101.0,491,90.9,0.2776,-1103024.0,36.2,26.9,101.8,540,100.0,0.1343,-1630286.0,35.6,26.0,100.8,486,90.0,0.3026,-733047.0,36.3,27.1,102.0
7,527,97.6,0.1353,-1425327.0,35.7,26.1,101.2,516,95.6,0.1994,-1289191.0,35.9,26.5,101.3,491,90.9,0.3046,-883650.0,36.5,27.5,102.4,540,100.0,0.1507,-1632726.0,35.8,26.3,101.0,480,88.9,0.3363,-466519.0,36.6,27.7,102.4
8,527,97.6,0.1534,-1369504.0,35.9,26.4,101.5,516,95.6,0.2172,-1183151.0,36.1,26.9,102.0,491,90.9,0.341,-664863.0,36.9,28.1,102.9,540,100.0,0.1682,-1635452.0,35.9,26.6,101.5,480,88.9,0.3413,-200070.0,37.0,28.3,103.4
9,519,96.1,0.1723,-1276486.0,36.0,26.7,101.7,505,93.5,0.2347,-1029393.0,36.4,27.3,102.4,478,88.5,0.347,-388925.0,37.3,28.7,103.5,540,100.0,0.1853,-1638453.0,36.2,26.9,101.7,474,87.8,0.3505,95227.0,37.4,28.9,104.1
10,519,96.1,0.1793,-1183579.0,36.2,27.0,102.0,505,93.5,0.2504,-875890.0,36.7,27.7,102.7,478,88.5,0.3543,-113105.0,37.6,29.3,104.2,540,100.0,0.2016,-1641720.0,36.4,27.2,102.0,472,87.4,0.3591,397719.0,37.8,29.5,104.4
11,519,96.1,0.1857,-1090778.0,36.4,27.3,102.3,505,93.5,0.2664,-722645.0,36.9,28.2,102.9,478,88.5,0.364,162558.0,38.0,29.9,104.5,540,100.0,0.2171,-1645237.0,36.6,27.6,102.2,470,87.0,0.3687,709224.0,38.2,30.1,104.7
12,515,95.4,0.1913,-980318.0,36.6,27.7,102.4,495,91.7,0.2814,-522560.0,37.2,28.6,103.2,476,88.1,0.3741,452974.0,38.4,30.5,104.8,540,100.0,0.2315,-1648987.0,36.9,28.0,102.5,466,86.3,0.3785,1051068.0,38.6,30.7,105.1
13,515,95.4,0.1959,-869931.0,36.9,28.0,102.5,495,91.7,0.294,-322679.0,37.6,29.1,103.4,476,88.1,0.3841,743228.0,38.8,31.1,105.2,540,100.0,0.2448,-1652953.0,37.1,28.4,102.7,466,86.3,0.3883,1392754.0,39.0,31.4,105.2
14,515,95.4,0.2001,-759612.0,37.1,28.4,102.6,495,91.7,0.3067,-123005.0,37.9,29.7,103.6,476,88.1,0.3948,1033308.0,39.2,31.8,105.3,540,100.0,0.2569,-1657114.0,37.4,28.9,102.9,464,85.9,0.3956,1748488.0,39.4,32.0,105.3
15,513,95.0,0.2038,-641604.0,37.3,28.7,102.6,487,90.2,0.3184,113064.0,38.2,30.2,103.8,468,86.7,0.4023,1360935.0,39.6,32.4,105.4,540,100.0,0.2679,-1661455.0,37.7,29.3,103.1,464,85.9,0.4027,2104109.0,39.8,32.7,105.5
16,513,95.0,0.207,-523647.0,37.5,29.1,102.7,487,90.2,0.3279,348978.0,38.6,30.7,103.9,468,86.7,0.4083,1688463.0,40.1,33.1,105.6,540,100.0,0.2779,-1665956.0,38.0,29.8,103.3,464,85.9,0.4102,2459607.0,40.2,33.3,105.6
17,513,95.0,0.21,-405739.0,37.7,29.4,102.7,487,90.2,0.3377,584734.0,38.9,31.3,104.1,468,86.7,0.4156,2015873.0,40.5,33.7,105.7,540,100.0,0.287,-1670606.0,38.3,30.3,103.4,462,85.6,0.4166,2821334.0,40.6,34.0,105.7
18,511,94.6,0.2129,-278711.0,38.0,29.8,102.8,481,89.1,0.3468,846926.0,39.3,31.9,104.3,466,86.3,0.4209,2350865.0,40.9,34.4,105.8,540,100.0,0.2953,-1675390.0,38.6,30.8,103.6,462,85.6,0.4215,3182983.0,41.1,34.6,105.8
19,511,94.6,0.2153,-151723.0,38.2,30.1,102.8,481,89.1,0.3543,1108996.0,39.6,32.4,104.4,466,86.3,0.4257,2685778.0,41.3,35.0,105.9,540,100.0,0.3031,-1680300.0,38.9,31.3,103.7,458,84.8,0.4267,3561714.0,41.5,35.3,105.9
20,511,94.6,0.2179,-24776.0,38.4,30.5,102.9,481,89.1,0.3623,1370936.0,40.0,33.0,104.5,466,86.3,0.431,3020606.0,41.8,35.7,106.0,540,100.0,0.3103,-1685327.0,39.2,31.8,103.8,458,84.8,0.4312,3940372.0,41.9,35.9,106.0
21,508,94.1,0.2203,118381.0,38.6,30.9,102.9,477,88.3,0.3699,1656253.0,40.4,33.6,104.6,464,85.9,0.4363,3365098.0,42.2,36.3,106.0,540,100.0,0.3173,-1690467.0,39.6,32.3,103.9,458,84.8,0.4365,4318944.0,42.3,36.6,106.0
22,508,94.1,0.2225,261504.0,38.9,31.2,102.9,477,88.3,0.3747,1941494.0,40.8,34.2,104.7,464,85.9,0.4413,3709509.0,42.6,37.0,106.1,540,100.0,0.3239,-1695715.0,39.9,32.8,104.1,456,84.4,0.4418,4707763.0,42.8,37.2,106.1
23,508,94.1,0.2248,404589.0,39.1,31.6,103.0,477,88.3,0.3798,2226652.0,41.2,34.8,104.8,464,85.9,0.4466,4053833.0,43.1,37.6,106.2,540,100.0,0.3304,-1701068.0,40.2,33.3,104.2,456,84.4,0.4468,5096501.0,43.2,37.9,106.2
